,id,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,subscribe
31,23511,54,11,1,1,0,-60,0,0,1,8,8,184,1,-1,0,0,0
32,30103,34,3,3,2,1,-54,0,0,1,24,5,1341,1,-1,0,0,1
33,38098,53,6,1,2,0,640,0,0,1,30,8,321,3,-1,0,0,1
34,35000,33,3,1,1,1,0,0,0,0,23,5,33,1,-1,0,0,0
35,4847,32,5,1,1,0,329,1,1,0,22,5,74,2,-1,0,0,0
36,41492,35,8,2,2,0,704,1,0,2,20,7,156,24,-1,0,0,0
37,37552,39,3,1,3,0,763,1,0,1,21,12,189,1,-1,0,0,0
38,3086,34,4,2,1,0,1539,1,0,1,8,2,75,1,184,3,1,0
39,13811,46,3,1,1,0,271,1,1,0,13,5,174,4,-1,0,0,0
40,42213,30,6,1,2,0,1037,1,0,1,21,11,120,1,-1,1,1,0
41,22282,45,3,3,1,0,573,0,0,1,28,1,890,1,-1,0,0,0
42,5571,30,9,2,2,0,191,0,0,2,23,11,401,1,-1,0,0,0
43,1518,33,3,2,1,0,2347,1,0,1,27,5,206,1,0,0,0,0
44,23987,31,5,2,1,0,-10,0,0,1,5,4,384,1,-1,0,0,0
45,40121,33,6,2,2,1,-41,1,0,1,20,11,262,1,94,0,0,0
46,14277,29,4,1,1,0,2658,1,0,1,5,6,208,1,263,4,2,0
47,34496,38,3,1,3,0,376,1,0,1,11,5,179,1,271,1,1,1
48,39791,52,7,3,3,0,1689,0,0,1,29,12,72,1,184,3,2,0
49,23867,50,6,1,2,0,17982,0,0,1,17,8,27,1,-1,0,0,0
50,36320,40,11,1,1,0,1711,1,0,1,4,5,481,1,175,6,1,0
51,25210,50,3,1,3,0,995,0,0,0,4,6,86,1,-1,0,0,0
52,31752,29,5,1,1,0,-19,0,1,1,7,8,180,2,-1,0,0,0
53,26787,32,11,2,1,1,388,0,1,0,4,6,24,1,-1,0,0,0
54,29221,36,6,1,2,0,204,0,0,1,21,7,40,3,-1,0,0,0
55,2707,42,3,1,1,1,-336,1,0,1,20,5,93,1,-1,0,0,0
56,24181,64,7,3,0,0,2417,0,0,2,14,12,241,1,187,3,2,1
57,29007,46,4,1,1,0,85,0,0,1,2,2,572,1,-1,0,0,0
58,13248,37,6,2,2,0,11858,0,0,1,19,11,51,1,121,1,2,1
59,29303,53,3,3,3,0,319,1,0,1,14,7,91,1,-1,0,0,0
60,31955,51,11,3,0,0,-127,0,0,1,22,8,438,2,-1,0,0,1
61,14223,34,12,2,2,0,5025,0,0,1,21,4,107,1,180,1,3,1
62,39794,32,1,1,1,0,1006,1,0,1,5,5,197,1,345,1,3,0
63,34886,40,7,2,1,0,61,0,0,1,7,7,186,1,-1,0,0,0
64,8252,44,3,1,3,0,928,1,0,1,5,11,87,2,-1,0,0,0
65,5380,29,6,2,2,0,569,0,0,1,8,8,934,1,-1,1,2,1
66,36503,51,1,1,1,0,-52,0,0,1,15,8,372,4,-1,0,0,0
67,7795,40,11,1,2,0,35,0,0,1,6,11,210,1,-1,0,0,0
68,10440,33,4,1,1,0,3245,1,0,1,20,11,160,1,118,1,3,1
69,8479,27,1,2,1,0,946,0,0,2,16,5,417,4,-1,0,0,0
70,26479,32,1,2,1,1,-14,0,0,1,6,5,173,1,-1,0,0,0
71,20261,24,1,2,1,0,246,0,0,0,3,5,153,1,-1,0,0,0
72,6647,31,3,1,3,0,-50,1,0,0,9,5,93,7,-1,0,0,0
73,10814,53,1,1,0,0,847,0,0,1,22,5,340,1,-1,0,0,0
74,7499,43,6,3,2,0,1101,1,0,1,12,5,218,8,348,1,1,0
75,31553,37,4,2,1,1,1251,1,0,1,19,11,94,1,180,2,1,0
76,25662,34,3,1,1,0,770,1,0,0,17,5,155,7,-1,0,0,0
77,32969,49,7,2,0,0,672,0,1,1,21,10,190,1,272,1,2,1
78,35351,46,4,1,1,0,1957,0,0,1,11,9,179,1,75,1,3,0
79,36348,47,3,1,3,0,60,1,0,2,5,2,120,5,-1,0,0,0
80,25291,23,5,1,1,0,128,0,0,1,29,5,74,7,-1,0,0,0
81,5913,30,3,2,3,0,2021,0,0,1,16,5,135,4,361,3,3,0
82,29739,59,10,1,3,0,392,0,0,1,20,11,246,1,-1,0,0,0
83,15257,40,6,1,2,1,-205,1,1,0,14,5,82,2,-1,0,0,0
84,38604,52,7,1,1,0,1792,0,0,1,7,11,221,1,180,1,1,0
85,7470,44,7,1,3,0,600,1,0,0,24,5,440,4,-1,0,0,0
86,13054,53,3,2,3,0,2526,1,0,0,5,5,164,5,-1,0,0,0
87,32412,35,4,1,1,0,243,1,0,1,3,2,191,1,-1,0,0,0
88,4700,52,10,1,3,0,404,0,0,1,18,9,488,1,176,1,1,0
89,40553,33,5,1,3,0,1499,1,0,0,20,5,218,1,-1,0,0,0
90,36517,47,3,1,3,0,843,0,0,1,9,4,192,2,292,1,1,0
91,17138,30,12,2,2,0,556,1,0,0,13,5,181,1,-1,0,0,1
92,41913,31,3,1,1,0,94,1,0,1,21,11,84,7,-1,0,0,0
93,23258,30,6,2,2,0,661,1,0,1,5,12,79,1,198,1,2,0
94,9719,28,6,2,2,0,20,0,0,1,8,5,185,1,355,1,3,0
95,31958,35,4,2,1,0,3880,0,0,2,20,7,192,1,-1,0,0,0
96,29116,54,3,1,3,0,552,1,0,0,29,5,94,7,-1,0,0,0
97,21245,31,9,2,0,0,1125,1,0,0,8,5,237,1,-1,0,0,0
98,37307,32,6,2,2,0,331,0,0,1,31,1,422,1,-1,0,0,0
99,30484,29,4,2,1,0,181,0,0,1,29,1,30,1,-1,0,0,0
100,3277,41,1,1,1,0,1260,0,0,1,8,9,448,1,91,1,2,1
101,35853,27,11,2,1,1,-103,0,0,1,22,7,187,1,-1,0,0,0
102,34593,33,8,2,2,1,-22,1,0,1,13,6,74,7,346,4,3,0
103,33052,35,3,1,3,0,359,1,0,0,12,5,329,13,-1,0,0,0
104,38807,47,9,1,1,1,9,1,0,0,12,5,232,2,-1,0,0,0
105,38189,51,3,1,3,0,18423,0,0,1,20,7,216,1,-1,0,0,1
106,26953,46,3,1,3,1,-46,1,0,0,13,5,99,3,-1,0,0,0
107,15237,49,1,1,1,0,3060,1,0,1,16,8,277,1,-1,0,0,0
108,39242,32,3,1,1,0,2321,1,0,2,19,7,525,1,-1,0,0,1
109,7268,49,6,2,2,0,3722,0,0,1,14,9,222,1,93,2,1,1
110,19640,38,6,1,2,0,-48,1,0,1,4,5,222,1,-1,0,0,0
111,32983,34,3,1,1,0,1613,1,0,0,11,5,124,2,-1,0,0,0
112,6154,29,5,2,1,0,-119,1,1,1,9,11,192,2,-1,0,0,0
113,22521,43,4,2,2,0,1862,0,0,0,5,2,190,1,-1,0,0,0
114,10623,54,3,1,0,0,256,1,0,0,9,5,76,2,-1,0,0,0
115,17073,26,9,1,1,0,160,0,1,1,8,7,420,1,184,1,1,0
116,36538,32,4,1,1,0,120,1,0,0,2,6,136,2,-1,0,0,0
117,11327,51,3,1,3,0,431,0,1,1,5,3,118,1,248,3,1,0
118,6307,31,9,2,2,0,4178,0,0,2,20,4,61,1,0,1,1,0
119,19162,51,3,1,1,0,765,1,1,1,28,1,83,1,-1,0,0,0
120,13112,26,3,2,3,0,4047,1,0,1,30,1,171,1,356,1,1,0
121,15012,32,3,2,1,0,98,1,0,1,21,5,326,2,180,3,2,1
122,26449,56,2,3,2,0,3235,0,0,2,27,10,620,1,-1,0,0,1
123,20168,33,4,1,2,0,607,0,0,1,21,8,305,2,-1,0,0,0
124,17071,41,4,2,3,0,421,0,0,1,6,12,578,1,125,1,2,0
125,19763,44,3,3,3,0,621,1,1,1,5,7,379,5,-1,0,0,0
126,12851,53,4,1,1,0,1267,1,0,1,15,9,500,1,179,1,1,1
127,29524,46,4,1,1,0,682,1,0,2,5,5,120,2,-1,0,0,0
128,3951,55,8,2,1,0,7344,0,0,2,21,12,159,2,-1,0,0,1
129,26112,56,11,3,1,0,1022,0,0,1,7,10,200,1,0,0,0,1
130,35724,22,8,2,2,0,154,0,0,1,12,5,729,3,183,3,1,0
131,41967,52,10,1,3,0,405,1,0,1,7,5,129,4,-1,0,0,0
132,28330,26,6,2,2,0,476,0,0,1,5,12,1025,1,186,3,2,1
133,30188,30,3,1,3,0,316,0,0,1,15,8,178,1,-1,0,0,0
134,31619,50,4,3,1,0,46,0,0,1,3,8,92,2,-1,0,0,0
135,36569,30,1,1,1,0,84,1,0,0,13,5,451,1,-1,0,0,0
136,31783,53,1,1,2,0,73,0,0,1,16,8,289,7,-1,0,0,0
137,15424,25,3,2,2,0,2005,0,0,2,14,5,126,7,342,11,3,1
138,39813,24,3,2,1,0,61,0,0,1,7,1,144,1,182,1,3,0
139,11018,25,3,2,0,0,2798,1,0,1,12,5,235,1,354,3,3,1
140,16688,40,4,1,1,0,1742,1,0,0,20,6,112,1,-1,0,0,0
141,15754,45,6,1,1,0,907,1,0,1,12,7,415,1,-1,0,0,0
142,39265,48,3,1,1,0,3850,1,0,0,7,5,152,2,0,0,0,0
143,34469,26,4,2,0,0,907,1,0,1,27,1,415,1,261,1,3,1
144,16853,77,7,1,3,0,1484,0,0,2,9,8,117,1,-1,0,0,0
145,34846,29,4,1,2,0,7405,1,0,1,19,11,392,1,-1,0,0,0
146,13027,39,3,1,1,0,617,1,0,0,6,5,65,2,-1,0,0,0
147,31743,42,1,1,1,0,386,1,0,1,21,2,294,1,258,1,3,1
148,4300,40,6,2,2,0,4129,0,0,1,31,1,76,1,-1,0,0,0
149,14784,41,11,3,1,0,83,0,0,0,19,6,1314,1,-1,0,0,1
150,3367,37,4,1,1,0,-504,1,1,0,8,5,152,1,-1,0,0,0
151,9309,49,9,1,2,1,-26,1,0,0,20,5,252,2,-1,0,0,0
152,42249,52,1,2,3,1,-98,1,0,1,9,7,149,1,-1,0,0,0
153,40497,54,3,3,3,1,-262,1,0,0,30,5,190,1,-1,0,0,0
154,22612,43,3,1,1,0,2455,0,0,0,21,6,601,1,-1,0,0,0
155,22806,34,4,1,1,0,348,1,1,0,7,5,135,1,-1,0,0,0
156,29842,41,6,1,2,0,1933,1,0,1,11,4,43,2,346,12,3,0
157,15417,60,6,3,2,0,3059,0,0,2,21,7,393,26,-1,0,0,1
158,17183,34,6,1,2,0,2879,0,0,1,30,1,563,1,-1,0,0,0
159,18056,53,9,1,2,0,314,1,1,0,17,5,70,1,-1,0,0,0
160,23469,36,3,2,1,1,-153,0,0,1,6,5,294,3,-1,0,0,0
161,38947,34,3,1,3,0,603,0,0,1,13,3,151,1,359,4,3,1
162,15808,33,4,2,2,0,606,1,0,1,15,9,161,1,84,4,3,1
163,6552,33,8,1,2,0,5181,1,0,0,20,6,129,5,-1,0,0,0
164,40603,69,7,1,3,0,2797,0,0,1,12,3,460,1,-1,0,2,1
165,24722,31,3,1,1,1,-139,1,0,0,8,6,165,1,-1,0,0,0
166,12209,31,1,1,1,0,-58,1,0,1,6,5,163,1,0,0,0,0
167,25116,46,5,3,0,0,676,1,0,0,29,5,103,1,-1,0,0,0
168,23403,51,1,1,2,0,509,0,0,1,21,7,108,1,-1,0,0,0
169,7762,35,4,2,1,1,68,1,0,0,15,5,286,3,-1,0,0,0
170,22443,29,5,2,1,0,9176,0,0,1,8,11,387,1,-1,0,1,0
171,29037,33,3,1,1,0,68,0,0,0,5,6,85,5,-1,0,0,0
172,27960,41,3,1,3,0,603,1,0,0,6,5,100,7,-1,0,0,0
173,28435,53,3,3,3,0,-8,0,0,1,28,7,64,1,-1,0,0,0
174,38940,53,5,3,1,0,429,1,0,0,9,7,127,3,-1,0,0,0
175,33815,30,4,2,1,0,327,1,0,0,2,5,212,1,-1,0,0,0
176,26713,74,7,1,2,0,676,0,0,1,12,8,1022,1,-1,0,0,1
177,4894,58,6,3,2,0,707,0,0,2,3,2,99,2,91,6,1,0
178,19831,34,6,1,2,0,2009,0,0,1,5,3,487,1,-1,0,0,1
179,31584,53,7,1,3,0,19423,0,0,2,16,3,154,1,-1,0,0,1
180,609,53,11,1,1,0,47,1,0,1,6,10,300,1,-1,0,0,0
181,34043,50,11,1,1,0,816,0,1,2,4,11,539,2,-1,0,0,1
182,39862,33,6,1,2,0,2859,0,0,1,18,11,271,1,186,1,1,0
183,34870,26,3,1,1,0,1554,1,0,1,12,5,171,2,354,3,1,0
184,5199,44,6,1,3,0,205,1,1,1,15,5,75,2,274,1,1,0
185,13673,49,6,2,2,0,16809,0,0,1,13,5,91,1,130,0,0,0
186,7409,34,3,2,2,0,591,0,0,1,15,7,834,1,-1,0,0,1
187,846,27,8,2,0,0,42,0,0,0,9,5,92,1,-1,0,0,1
188,21739,57,3,1,3,0,-789,0,0,0,5,6,113,2,-1,0,0,0
189,24462,45,6,2,2,0,134,0,0,0,7,6,239,1,-1,0,0,0
190,5709,45,11,1,0,0,10675,1,0,0,14,5,170,1,-1,0,0,0
191,5193,31,6,1,2,0,503,1,0,0,14,5,208,4,-1,0,0,0
192,22225,45,3,1,1,1,-624,1,0,1,19,11,654,1,180,2,1,0
193,13778,28,4,1,1,0,107,1,0,1,13,7,204,2,-1,0,0,0
194,12335,26,4,1,1,0,1526,1,0,0,8,5,88,2,0,0,0,0
195,29027,35,4,1,1,0,2969,0,0,1,10,5,270,2,-1,0,0,0
196,31824,26,4,3,1,0,166,0,0,1,21,11,321,1,-1,0,2,0
197,41781,42,11,1,1,0,-7,1,0,1,22,7,65,6,-1,0,0,0
198,16300,30,3,1,1,0,1105,1,0,0,31,5,143,1,-1,0,0,0
199,34596,32,3,2,1,0,852,1,0,2,18,5,135,2,340,0,0,0
200,21186,33,4,1,1,0,-292,0,0,1,29,8,571,1,-1,0,0,0
201,13624,38,4,2,2,0,2912,1,0,0,5,5,87,10,-1,0,0,0
202,23735,43,3,2,3,0,235,0,0,1,31,7,106,7,-1,0,0,0
203,5785,36,11,1,1,0,-132,1,0,0,14,5,151,1,-1,0,0,0
204,10839,29,12,2,2,0,1256,0,0,1,10,9,389,1,-1,0,0,1
205,12460,47,4,1,1,0,-1097,1,0,1,2,2,177,1,-1,0,0,0
206,36611,27,3,1,3,0,453,1,0,1,30,12,450,1,347,1,1,1
207,31166,43,3,1,1,0,388,1,0,1,7,5,123,1,344,1,1,0
208,13930,22,1,2,2,0,3952,1,0,1,5,6,59,6,339,3,3,1
209,10736,36,6,2,2,0,1114,0,0,1,15,3,155,1,-1,0,0,1
210,38067,39,9,3,2,0,3907,1,0,0,18,6,208,1,-1,0,0,0
211,9748,68,7,3,1,0,5041,0,0,2,5,5,386,2,-1,0,0,0
212,15484,40,6,2,2,0,925,0,0,1,8,7,584,1,-1,0,0,1
213,2174,44,4,1,3,0,688,1,0,1,16,5,513,1,285,3,1,0
214,12473,35,6,2,2,0,-60,1,0,0,7,5,153,2,-1,0,0,0
215,10673,31,3,1,1,0,1119,1,0,0,30,5,152,1,-1,0,0,0
216,30444,42,5,2,1,0,-25,0,0,1,21,4,591,1,0,0,0,0
217,41478,45,3,1,3,0,-73,1,0,0,28,6,64,1,-1,0,0,0
218,3426,57,9,1,2,0,1133,0,0,1,6,8,516,3,-1,0,0,1
219,19672,43,5,1,1,0,48,0,0,2,7,5,116,14,-1,0,0,0
220,2045,30,6,2,2,0,1146,0,0,1,29,12,282,1,96,3,2,1
221,8176,32,5,1,1,0,863,0,0,1,21,11,192,2,0,0,0,0
222,28202,51,5,1,1,0,2,1,0,1,7,5,188,2,-1,0,0,1
223,5806,29,3,2,2,0,12715,1,0,0,21,6,42,1,-1,0,0,0
224,5652,29,3,1,1,0,886,0,1,0,6,5,166,4,-1,0,0,0
225,16224,52,3,1,1,0,2140,0,1,1,30,7,4,1,-1,0,0,0
226,10254,43,3,1,1,1,-109,1,0,1,1,2,208,1,-1,0,0,0
227,9949,45,3,3,3,0,1092,1,0,1,16,5,132,7,347,2,1,0
228,8677,32,8,1,1,0,2010,1,1,0,19,5,71,2,-1,0,0,0
229,1264,28,12,2,1,0,1396,1,0,1,22,11,521,1,-1,0,0,1
230,29025,54,1,1,1,0,1866,1,0,1,6,5,98,1,174,1,1,0
231,32369,35,3,3,2,1,-457,0,0,0,29,7,361,2,-1,0,0,0
232,4187,46,3,1,3,0,502,0,0,1,30,7,139,1,-1,0,0,0
233,24442,41,3,1,1,0,781,1,0,2,28,7,136,7,-1,0,0,0
234,38271,37,3,1,1,0,2119,1,0,1,12,5,161,1,345,1,1,1
235,23813,51,4,1,1,0,320,1,1,1,15,5,348,2,-1,0,0,0
236,19217,48,6,1,2,0,4994,0,1,1,22,11,90,2,180,11,3,0
237,33712,40,3,1,1,0,1111,1,0,1,3,5,184,2,255,11,3,0
238,18237,27,3,1,1,1,-114,1,0,0,7,7,247,16,-1,0,0,0
239,29395,32,5,2,1,0,946,0,0,0,15,5,276,1,-1,0,0,1
240,32627,29,4,2,2,0,20,0,0,1,20,8,152,2,186,1,2,0
241,22526,35,4,2,1,0,117,0,0,1,4,2,172,1,182,1,1,0
242,22417,54,1,1,1,0,49,1,0,1,14,4,267,1,354,2,1,0
243,34515,61,7,1,3,0,328,0,0,1,2,11,152,1,-1,0,0,0
244,12495,33,6,2,2,0,100,0,1,1,8,7,203,1,-1,0,0,0
245,12154,43,3,1,1,0,213,0,1,1,5,8,137,2,-1,0,0,0
246,10969,43,3,1,3,0,83,1,0,1,28,7,362,1,-1,0,0,1
247,10598,59,5,1,3,0,-54,0,0,1,9,8,68,2,-1,0,0,0
248,29140,43,11,1,3,0,-131,1,0,1,5,2,130,2,259,3,3,0
249,6745,24,5,2,1,0,-91,0,0,1,31,1,143,1,-1,0,0,0
250,32845,28,9,1,0,0,28,1,0,0,12,5,52,1,-1,0,0,0
251,24705,50,6,2,2,0,549,0,0,2,21,7,279,2,-1,0,0,0
252,311,45,6,2,2,0,4140,0,0,1,15,8,298,2,-1,0,0,1
253,40530,57,6,1,2,0,178,1,1,0,21,5,246,1,-1,0,0,0
254,27725,56,3,1,1,0,1641,0,1,1,7,1,242,1,258,1,1,0
255,18296,28,12,2,2,0,2904,0,0,2,19,12,504,3,-1,0,0,1
256,21224,29,1,2,1,0,597,1,0,1,16,5,296,1,182,1,1,1
257,18670,39,6,1,2,0,14408,0,0,1,14,6,791,1,176,0,0,1
258,19586,29,7,2,2,0,3408,0,0,1,7,9,230,1,0,0,0,1
259,14087,32,6,1,2,0,-477,1,0,1,13,5,424,1,-1,0,0,1
260,8390,30,4,1,3,0,-21,0,1,1,31,7,220,2,-1,0,0,0
261,11,37,3,2,3,1,-85,0,0,1,4,11,175,1,-1,0,0,0
262,3929,31,1,2,1,0,-22,0,0,1,29,5,127,1,-1,0,0,1
263,7704,31,6,2,2,0,378,0,0,1,22,7,471,1,0,0,0,0
264,27242,39,5,2,1,0,-109,1,0,1,7,5,134,1,-1,0,0,0
265,22569,53,4,1,1,0,932,1,0,1,13,4,147,1,178,2,2,0
266,36453,66,7,1,2,0,2341,0,0,1,21,8,436,1,-1,0,0,0
267,34185,33,4,2,1,0,35,1,0,1,3,2,257,1,-1,0,0,0
268,18647,34,6,2,2,0,2031,1,0,1,8,7,778,1,183,3,2,1
269,23694,39,8,1,0,0,545,0,0,1,12,5,86,7,-1,0,0,0
270,21073,59,7,1,3,0,1033,0,0,1,22,8,159,2,-1,0,0,0
271,14574,35,8,1,2,0,634,1,0,2,2,2,147,2,282,3,1,0
272,29154,52,3,1,3,0,118,1,0,1,19,5,147,1,-1,0,0,0
273,29428,42,4,3,1,0,1738,0,0,0,30,5,193,2,91,12,1,0
274,19464,51,11,1,1,0,1824,0,0,1,4,8,64,2,-1,0,0,0
275,17092,48,8,3,3,0,-576,1,0,0,15,5,123,2,-1,0,0,0
276,41359,40,11,1,1,0,1731,0,0,1,7,10,195,1,-1,0,0,0
277,23126,36,6,1,2,0,5454,1,0,0,14,5,40,2,-1,0,0,0
278,14655,40,3,1,1,0,717,1,0,0,13,5,411,1,-1,0,0,0
279,4460,50,6,3,2,0,115,0,0,1,29,5,85,2,-1,0,0,0
280,42367,43,3,1,3,0,367,1,1,0,22,7,15,3,-1,0,0,0
281,38316,41,3,2,1,0,2774,1,0,1,20,2,200,1,174,11,3,0
282,24718,23,5,1,1,0,547,0,0,1,15,5,109,2,181,1,2,1
283,33291,41,4,1,2,0,1123,1,0,1,14,2,243,1,285,2,1,0
284,13860,33,3,1,3,1,-428,1,0,1,8,7,94,1,-1,0,0,0
285,31821,49,9,1,1,0,4,0,0,1,2,3,112,2,0,0,0,1
286,15434,31,12,2,2,0,-34,0,0,1,18,8,389,1,185,1,3,1
287,26951,51,1,1,1,0,166,1,0,0,13,5,142,1,-1,0,0,0
288,12326,45,3,1,1,0,149,1,0,1,9,5,126,2,251,1,3,0
289,18616,35,3,3,3,1,-5,1,0,0,20,5,160,2,-1,0,0,0
290,27941,28,12,2,3,0,539,0,0,1,4,12,370,1,0,0,0,1
291,29625,28,6,1,2,0,1155,0,0,1,18,11,313,10,97,1,1,0
292,35210,32,12,2,2,0,4563,1,0,0,9,5,280,1,-1,0,0,1
293,4849,37,4,3,1,0,-26,0,0,1,6,8,146,7,-1,0,0,0
294,25987,31,6,2,1,0,1850,0,0,1,15,12,1005,1,0,0,0,1
295,6420,39,4,2,1,0,1244,0,0,1,20,11,65,1,-1,0,0,0
296,20786,54,7,1,3,0,164,0,0,1,21,7,300,1,-1,0,0,0
297,31154,33,4,2,1,0,97,1,0,1,21,7,227,1,-1,0,0,0
298,12455,42,1,2,1,0,820,0,0,2,16,5,312,1,-1,0,0,0
299,9085,29,6,2,2,0,815,0,0,1,7,8,362,1,-1,0,0,1
300,39344,32,8,1,2,0,1862,1,0,1,4,5,158,1,-1,0,0,0
301,26223,32,4,2,1,0,92,0,0,0,19,6,286,1,-1,0,0,0
302,29938,41,3,3,3,0,796,0,0,1,19,5,140,1,190,1,1,0
303,35050,50,6,1,2,0,2180,0,0,1,12,6,267,1,101,2,2,1
304,30133,46,4,1,2,0,755,0,0,0,15,5,184,2,-1,0,0,0
305,18031,38,6,2,2,0,4634,0,0,1,5,3,153,1,100,6,2,1
306,33115,37,6,3,2,0,276,0,0,1,7,12,462,1,94,6,2,1
307,40817,51,4,1,1,0,2091,1,0,0,6,5,45,5,-1,0,0,0
308,26362,57,8,2,2,0,1546,1,0,2,6,2,12,3,-1,0,0,0
309,88,27,3,1,1,0,177,1,0,0,11,5,191,1,-1,0,0,0
310,29329,57,7,1,2,0,870,0,0,2,5,9,237,1,192,2,2,0
311,36059,24,5,2,1,0,115,0,0,1,9,2,208,1,-1,0,0,0
312,25201,49,3,1,1,0,295,1,0,0,26,5,181,1,-1,0,0,0
313,18072,46,1,2,1,0,537,1,0,1,12,11,146,2,280,1,1,0
314,20685,30,3,2,2,0,4575,1,0,2,16,5,45,3,357,0,0,0
315,32407,60,6,3,2,0,4151,0,0,2,12,7,390,2,-1,0,0,1
316,30703,38,11,1,1,1,134,0,0,1,7,8,304,1,-1,0,0,0
317,4721,58,7,1,3,0,35,0,0,2,17,7,341,7,-1,0,0,0
318,3234,29,3,1,3,0,75,1,0,1,6,5,130,1,-1,0,0,0
319,21162,30,4,2,2,0,3826,1,0,1,5,2,148,1,185,1,3,0
320,38361,49,1,2,3,0,1061,1,0,2,11,5,376,1,341,3,1,0
321,10221,29,3,1,1,0,506,0,1,0,25,5,249,4,-1,0,0,0
322,28324,36,3,1,2,0,3033,1,0,1,2,2,109,9,357,2,1,0
323,1482,49,4,1,1,0,-63,0,0,1,4,8,115,1,-1,0,0,0
324,15491,29,4,3,1,0,394,1,0,0,8,5,191,7,-1,0,0,0
325,25155,35,6,2,2,0,65,0,0,0,31,8,55,7,-1,0,0,0
326,14152,31,3,2,3,0,835,1,0,2,3,5,80,5,-1,0,0,0
327,16581,31,4,1,1,0,-27,1,0,1,9,7,641,1,-1,0,0,0
328,14520,36,6,1,2,0,2666,0,0,0,29,6,88,10,-1,0,0,0
329,10560,26,6,2,2,0,839,1,1,0,14,5,112,2,-1,0,0,0
330,18469,31,6,1,2,0,462,0,0,1,7,8,916,2,-1,0,0,1
331,2798,32,12,2,2,0,2484,0,0,1,5,8,822,1,-1,0,0,1
332,18599,33,3,1,1,0,650,0,1,1,14,7,713,2,-1,7,0,0
333,3140,47,4,3,3,0,26,0,0,1,20,7,616,2,-1,0,0,0
334,21919,34,6,1,2,0,288,1,0,1,20,11,153,1,-1,0,0,0
335,4361,28,5,2,1,0,37,1,0,0,7,5,237,1,-1,0,0,0
336,40345,28,4,2,2,0,-66,0,0,1,29,8,152,1,-1,0,0,0
337,26598,39,6,1,2,0,36,1,0,1,20,11,552,2,90,3,2,1
338,39645,33,3,1,3,1,-7,1,0,0,5,5,176,7,-1,0,0,0
339,6885,63,7,1,1,0,569,0,0,1,20,8,700,1,89,3,2,1
340,24936,28,12,2,1,0,2293,0,0,2,14,7,59,17,-1,0,0,0
341,22891,52,8,1,3,0,732,0,0,1,13,7,227,1,-1,0,0,1
342,37027,72,7,1,1,0,2196,0,0,0,29,5,534,2,-1,0,0,1
343,41336,32,4,2,1,0,55,1,0,2,4,11,111,6,-1,0,0,0
344,40851,27,6,1,0,0,101,1,0,1,20,11,130,1,119,3,2,0
