,id,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
67,30284,56,3,1,3,0,622,1,1,2,21,11,97,1,-1,0,0
68,5097,29,3,1,1,0,957,1,1,1,12,5,137,1,354,1,1
69,10404,35,3,1,3,0,876,0,0,1,9,7,317,1,-1,0,0
70,8984,40,1,1,1,0,2427,1,0,0,12,5,99,1,-1,0,0
71,16177,31,6,2,2,0,89,0,0,1,30,12,531,1,190,1,2
72,3118,75,7,1,3,0,245,0,0,1,13,12,114,1,-1,0,0
73,35894,40,4,1,1,0,647,1,0,1,20,11,101,1,185,1,1
74,33491,56,4,1,1,0,27,0,0,1,17,7,115,3,-1,0,0
75,20610,39,4,1,2,0,1978,0,0,1,6,2,223,1,181,2,3
76,16244,44,3,1,3,0,2687,1,0,1,3,11,114,2,282,1,3
77,37204,29,3,1,3,0,713,1,1,1,16,5,1016,1,263,1,3
78,21982,33,11,1,2,0,2698,0,0,2,26,5,460,4,-1,0,0
79,34867,41,3,1,3,0,531,1,0,1,19,5,106,2,0,1,1
80,11354,31,5,1,1,0,-29,1,0,0,13,5,194,1,-1,0,0
81,21886,30,5,2,1,1,-561,1,0,1,26,5,134,4,-1,0,0
82,15919,48,7,1,1,0,4575,0,0,1,13,8,154,6,-1,0,0
83,14910,44,5,1,1,0,789,0,0,1,30,8,126,2,-1,0,0
84,14193,34,5,2,1,0,4123,0,0,0,14,5,254,3,-1,0,0
85,28718,34,3,2,3,0,-173,0,0,2,23,2,433,4,-1,0,0
86,25272,30,6,2,2,0,2849,0,0,1,13,6,151,1,181,1,1
87,18429,37,9,2,1,1,-564,1,0,0,14,5,99,1,-1,0,0
88,9606,24,5,2,1,0,-1,0,0,2,18,7,110,4,-1,0,0
89,9929,51,6,1,2,0,3402,0,0,1,14,8,760,2,-1,0,0
90,10833,52,3,1,1,0,1863,1,0,1,3,5,188,7,-1,0,0
91,14456,43,3,1,1,0,2225,1,0,1,22,11,147,1,186,1,1
92,15726,33,1,2,1,0,603,0,0,1,9,7,425,1,-1,0,0
93,26650,34,4,2,2,0,388,0,0,1,14,11,508,1,94,1,2
94,3914,50,5,1,1,1,574,1,0,0,13,5,625,1,-1,0,0
95,4863,56,6,1,2,0,147,0,0,1,20,7,144,2,-1,0,0
96,37786,31,6,2,2,1,110,0,0,2,5,2,52,10,-1,0,0
97,3693,30,5,2,1,0,83,0,1,1,12,7,208,1,-1,1,0
98,12719,34,6,1,2,0,40,1,1,1,6,2,188,2,-1,0,0
99,21679,59,11,1,0,0,64,0,0,1,14,8,122,1,-1,0,0
100,37024,50,3,1,1,0,1863,0,1,0,6,6,284,2,-1,0,0
101,16478,56,4,1,1,0,84,1,0,1,12,7,152,1,-1,0,0
102,37765,31,3,2,1,0,374,0,0,2,21,11,240,3,-1,0,0
103,31007,51,9,2,1,0,1725,1,0,1,2,11,181,1,166,3,3
104,37814,33,6,1,0,0,43,0,0,1,5,3,637,3,182,1,2
105,21413,29,5,2,1,0,3506,1,0,1,5,5,110,1,355,1,1
106,36428,29,4,2,1,0,7,1,0,1,20,11,966,4,-1,0,0
107,14823,47,3,1,0,0,-17,1,0,2,31,11,58,2,-1,0,0
108,22094,48,1,1,0,0,1192,1,0,0,20,5,113,6,-1,0,0
109,19736,34,6,1,2,0,6940,0,0,2,17,8,59,1,-1,0,0
110,16257,29,6,2,2,0,3782,0,0,1,23,6,173,1,0,0,0
111,32249,39,4,1,1,1,546,0,0,1,6,7,132,2,0,0,0
112,13718,27,1,2,2,0,3831,1,0,1,3,9,194,7,108,3,3
113,24836,40,4,3,2,0,1654,0,0,1,18,11,709,3,95,10,1
114,40768,53,6,1,2,0,1761,0,0,0,5,5,204,2,-1,0,0
115,26046,55,4,2,3,0,96,0,1,1,29,7,182,2,-1,0,0
116,4363,31,1,2,1,0,7435,1,0,1,6,5,268,2,-1,2,1
117,26022,36,4,2,2,0,3450,1,0,1,6,2,214,7,184,3,1
118,4143,54,3,1,3,0,5594,0,0,2,15,7,135,1,-1,0,0
119,3065,34,1,1,1,0,-75,1,0,1,6,5,154,5,-1,0,0
120,10224,29,6,2,2,0,12,1,0,1,20,11,86,1,-1,0,0
121,23807,56,4,1,1,0,475,0,0,2,21,8,83,2,-1,0,0
122,28743,31,6,2,1,0,96,1,0,1,21,8,258,3,-1,0,0
123,35234,29,1,2,1,1,28,0,0,1,17,7,349,2,-1,0,0
124,34108,55,7,1,1,0,1997,0,0,2,16,7,221,1,-1,0,0
125,39799,29,4,1,1,0,1553,0,0,1,3,12,78,1,102,1,1
126,15889,39,9,1,1,0,778,1,1,1,4,5,126,1,-1,0,0
127,35680,33,3,2,3,0,2699,1,0,1,18,5,100,5,352,1,1
128,29026,46,11,1,3,0,2735,0,0,1,29,1,201,1,-1,0,0
129,30578,44,4,2,0,0,-231,1,0,0,21,5,183,2,-1,0,0
130,11526,31,3,1,3,0,-240,1,0,1,6,5,131,3,273,1,3
131,27430,35,6,1,1,1,11,0,0,1,2,7,173,3,-1,0,0
132,20200,34,6,2,2,0,1755,0,0,1,13,8,63,1,95,1,2
133,12748,50,10,1,3,0,921,0,0,1,20,11,132,1,-1,0,0
134,31930,49,3,1,3,0,1947,0,0,2,16,7,113,3,-1,0,0
135,8207,33,6,1,1,0,35,1,0,1,16,1,64,1,180,1,1
136,17392,58,6,3,2,0,685,1,0,1,15,8,184,2,-1,0,0
137,37531,50,3,1,1,0,-1,1,1,0,12,5,314,1,-1,0,0
138,19758,27,5,1,0,0,618,1,0,1,22,7,347,4,-1,0,0
139,9530,30,3,2,3,0,-33,1,0,1,14,5,160,5,-1,0,0
140,24393,45,5,1,1,0,1803,1,0,0,13,5,136,1,-1,0,0
141,35185,31,6,2,2,0,949,1,0,1,13,5,218,1,339,1,1
142,19055,46,6,1,0,0,-12,0,0,2,30,7,366,2,-1,0,0
143,14642,46,3,1,1,1,-107,1,0,0,6,5,48,1,-1,0,0
144,20920,37,6,2,2,0,100,0,0,1,15,6,410,2,-1,0,0
145,13814,48,4,3,1,0,347,1,0,0,3,1,138,1,-1,0,0
146,13431,24,6,2,1,0,2349,1,1,1,6,6,217,1,99,1,2
147,38510,56,4,1,1,0,10,1,1,1,1,8,136,2,-1,0,0
148,20299,29,1,2,1,0,-34,1,0,1,20,5,283,1,0,0,0
149,31323,52,10,1,2,0,202,0,0,0,3,6,414,1,-1,0,0
150,1199,30,11,2,2,0,2826,0,0,0,21,7,355,1,-1,0,0
151,30208,58,7,1,1,0,2281,0,0,2,12,8,171,2,-1,0,0
152,38091,42,11,3,3,0,582,0,0,1,15,7,680,1,0,0,0
153,13548,33,4,2,1,0,424,0,1,1,20,7,229,1,-1,0,0
154,16617,34,6,2,2,1,790,1,0,0,8,6,133,1,-1,0,0
155,34926,32,4,2,1,0,2688,0,0,1,4,2,282,1,-1,0,0
156,39275,32,3,3,3,0,-153,1,0,1,23,8,558,2,-1,0,0
157,8387,32,2,1,2,0,904,0,0,0,5,6,282,1,-1,0,0
158,22281,34,3,3,1,1,-314,0,0,1,13,5,1229,2,-1,0,0
159,2468,29,3,2,3,0,869,1,0,1,16,4,337,1,349,1,1
160,21689,24,3,2,3,1,-195,1,0,1,12,5,106,4,-1,0,0
161,4358,33,3,1,1,0,698,1,0,1,15,4,262,1,252,1,2
162,4888,30,3,1,1,0,-44,1,0,1,13,5,141,2,346,3,3
163,25126,37,4,1,1,0,548,1,0,1,6,5,258,2,344,11,3
164,8107,37,5,1,3,0,92,1,1,1,20,5,211,1,-1,0,0
165,16994,31,4,2,2,0,32,0,1,1,7,8,60,1,-1,0,0
166,9644,32,6,2,2,1,1504,0,0,1,13,5,199,1,349,1,1
167,27322,33,9,1,2,0,2473,1,1,1,14,4,116,1,334,3,1
168,30082,68,7,3,3,0,252,0,0,2,8,11,526,1,-1,0,0
169,29686,30,3,1,1,1,75,1,0,1,14,8,176,7,-1,0,0
170,39682,42,5,1,1,0,482,0,0,1,3,6,147,1,-1,0,0
171,22324,50,9,1,3,0,1705,1,0,1,2,10,143,1,246,5,1
172,19119,24,12,2,2,0,900,0,0,1,13,10,262,1,-1,0,0
173,33238,26,6,2,3,0,3960,0,0,1,14,9,152,1,173,9,3
174,36401,35,4,1,1,0,391,0,0,2,25,11,188,1,0,0,0
175,38753,30,1,2,1,0,1817,1,0,1,13,4,527,2,338,1,1
176,21048,31,3,1,3,0,536,0,0,1,5,6,150,1,0,0,0
177,11735,36,5,2,1,0,1167,1,0,1,6,2,120,1,292,1,0
178,21939,48,3,1,3,0,856,1,0,1,13,5,187,1,328,1,1
179,2129,30,4,2,1,0,35,1,0,0,8,5,204,1,-1,0,0
180,20694,44,4,1,2,0,1808,1,0,1,15,1,222,1,173,3,3
181,13599,44,3,1,1,0,609,1,0,1,16,7,577,2,-1,0,0
182,30295,29,4,2,1,0,856,1,0,0,17,5,208,1,-1,0,0
183,10932,50,10,1,3,0,4860,0,0,1,20,8,66,2,-1,0,0
184,3850,33,9,2,2,0,87,0,0,1,13,8,782,2,-1,0,0
185,30729,35,4,1,0,0,86,0,0,1,31,1,73,1,-1,0,0
186,11201,70,10,1,3,0,-208,0,0,2,24,7,359,1,-1,0,0
187,8911,34,3,3,1,0,141,0,0,1,7,7,575,1,-1,0,0
188,6226,45,10,1,3,0,30,0,0,0,25,5,10,15,-1,0,0
189,32393,28,3,1,1,0,193,1,0,0,21,5,195,7,-1,0,0
190,38158,28,11,2,3,1,-172,1,0,0,13,5,81,4,-1,0,0
191,39594,48,4,1,1,0,959,1,0,0,13,5,56,1,-1,0,0
192,29539,37,9,1,2,0,95,0,0,1,12,8,85,1,-1,0,0
193,32948,23,5,2,2,0,160,0,1,1,31,7,148,1,-1,0,0
194,38879,32,11,1,3,0,15,0,0,1,29,7,149,2,-1,0,0
195,23885,32,3,1,1,0,-135,1,1,1,21,11,273,2,-1,0,0
196,29397,34,3,1,1,0,1678,1,0,0,17,5,65,1,-1,0,0
197,20209,48,3,1,1,0,2215,1,0,2,12,10,376,1,180,10,3
198,21621,26,1,2,2,0,141,0,0,2,15,12,222,3,99,11,3
199,23659,31,4,2,1,0,99,1,0,1,19,11,351,2,354,3,1
200,35782,34,4,2,1,0,1868,0,0,1,6,2,127,5,271,1,1
201,37789,52,1,3,1,0,786,1,1,1,29,7,235,3,-1,0,0
202,4309,27,6,2,2,0,1607,1,0,1,2,6,62,7,-1,0,0
203,25791,42,4,1,0,0,151,1,1,0,13,6,113,1,295,1,2
204,36319,41,1,3,1,0,1623,1,0,1,4,9,530,2,179,3,2
205,41278,31,4,3,0,0,1596,1,0,1,4,5,79,1,355,1,1
206,24695,31,5,1,1,0,1355,0,0,0,14,5,149,2,-1,0,0
207,34298,18,1,2,1,0,996,0,0,1,8,5,385,2,354,1,2
208,17037,30,6,2,2,0,4360,0,0,1,13,8,265,2,-1,0,0
209,37308,53,3,1,3,0,-493,1,0,2,23,7,81,23,-1,0,0
210,42195,35,5,1,1,0,178,1,0,0,6,5,218,2,-1,0,0
211,4770,53,8,1,3,0,459,0,0,1,15,12,203,4,183,3,2
212,26537,37,10,1,3,0,-28,1,0,0,4,5,197,3,-1,0,0
213,15113,38,3,3,3,0,314,1,0,1,30,5,276,7,-1,0,0
214,2107,30,11,1,3,0,1158,0,0,1,31,1,164,1,-1,3,0
215,12041,39,5,1,1,0,-89,1,0,1,7,7,118,1,-1,0,0
216,36362,30,6,2,2,0,930,1,0,1,17,8,822,1,-1,0,0
217,25054,54,5,1,1,0,31,0,0,1,14,8,188,2,-1,0,0
218,14061,42,4,1,1,0,211,0,0,1,13,5,1316,4,-1,0,0
219,6932,32,12,2,1,0,1724,1,0,1,16,2,146,3,355,11,3
220,27349,53,4,1,1,0,315,1,0,1,4,8,116,16,-1,0,0
221,23037,32,5,1,0,0,329,0,0,0,2,6,71,7,-1,0,0
222,9507,51,7,1,1,0,-51,0,0,1,7,7,870,1,-1,0,0
223,4673,57,10,1,3,0,153,1,0,2,13,7,61,7,-1,0,0
224,4267,44,9,2,3,0,1873,0,0,2,20,5,120,3,-1,0,2
225,5150,33,1,1,1,0,498,1,0,1,14,7,323,3,349,1,1
226,4209,57,3,1,3,0,1,1,0,1,28,5,148,2,-1,3,1
227,16100,50,11,1,3,0,1722,1,0,1,28,1,168,2,88,0,1
228,7774,55,11,3,3,0,1227,1,0,1,21,9,189,1,286,1,1
229,41852,32,5,2,1,0,619,1,0,0,8,5,261,1,-1,0,0
230,41106,26,5,2,1,0,962,1,0,1,12,5,205,1,354,3,1
231,23422,54,4,1,1,0,382,0,1,1,30,7,367,2,-1,0,0
232,14113,33,6,2,2,0,468,1,0,0,15,5,86,7,-1,0,0
233,10702,44,3,1,1,0,498,1,0,0,18,5,395,13,-1,0,0
234,28749,36,6,2,2,1,-35,1,0,0,16,5,85,5,-1,0,0
235,40192,55,4,1,2,0,212,1,0,1,7,5,270,2,-1,0,0
236,2023,47,8,1,2,0,33,1,0,2,20,11,108,1,-1,0,0
237,39684,36,6,1,2,0,12,0,0,1,22,7,397,1,-1,0,0
238,886,49,10,3,2,0,1736,0,0,1,30,1,116,1,-1,0,0
239,19541,80,7,1,3,0,4271,0,0,1,3,8,565,2,-1,0,0
240,25886,30,5,1,1,0,29,1,0,0,9,5,280,1,-1,0,0
241,38832,28,4,3,2,0,5416,1,0,1,14,4,160,2,-1,0,0
242,41314,54,7,1,2,0,410,0,0,1,8,8,562,1,-1,0,0
243,41938,38,5,2,1,0,-438,0,0,1,30,7,167,1,-1,0,0
244,31534,48,3,1,3,0,13298,1,0,1,29,4,109,2,-1,0,0
245,8986,29,4,3,2,0,4709,0,0,1,29,1,276,1,348,3,3
246,3744,27,4,2,1,0,-123,0,0,1,10,5,187,1,-1,0,0
247,9800,48,3,1,1,0,420,1,1,1,8,7,174,5,-1,0,0
248,36063,31,9,2,2,0,18,0,0,1,31,7,125,1,-1,0,0
249,10720,52,7,1,3,0,96,0,0,1,3,7,146,1,186,1,2
250,30013,29,6,2,2,0,5006,0,0,1,5,8,470,1,-1,0,0
251,38327,49,3,1,3,0,11,1,0,0,14,5,251,1,-1,0,0
252,33468,43,4,1,1,0,430,1,0,1,13,5,81,1,179,2,1
253,18376,38,3,2,1,0,368,0,0,1,20,11,49,9,101,4,1
254,41134,34,6,1,2,0,595,0,0,1,6,8,154,1,-1,0,0
255,41472,52,11,1,1,0,831,0,0,1,21,8,139,4,-1,0,0
256,13421,54,7,1,2,0,998,0,0,1,11,8,844,1,85,3,2
257,12364,28,11,2,2,0,2305,1,0,1,1,2,217,1,182,1,1
258,29264,26,6,1,2,1,33,1,0,1,5,8,97,1,-1,0,0
259,15095,30,5,2,1,0,32,0,0,1,10,7,130,1,0,0,0
260,26894,33,6,2,2,0,29,0,1,1,16,7,314,4,-1,0,0
261,29163,40,6,1,2,0,110,0,0,1,20,11,166,7,-1,0,0
262,20900,45,4,1,1,0,228,1,0,0,3,6,77,1,-1,0,0
263,21535,33,11,2,2,0,569,1,0,0,1,6,193,2,0,0,0
264,38341,66,7,1,0,0,1661,0,0,2,7,12,171,1,187,2,1
265,36475,36,6,2,2,0,601,0,0,1,4,9,249,1,89,6,2
266,20728,26,4,1,1,0,588,0,0,1,3,2,139,1,275,3,1
267,27464,61,7,1,3,0,214,0,1,0,2,6,135,1,-1,0,0
268,21555,71,4,1,3,0,2057,0,0,2,29,1,208,1,68,3,3
269,36597,31,3,2,1,0,61,0,0,1,21,11,124,1,-1,0,0
270,15517,39,3,1,1,0,-459,1,0,1,13,5,195,1,354,2,1
271,3158,28,8,2,0,0,2034,0,1,1,9,7,548,1,-1,0,0
272,36065,52,9,2,2,0,3347,0,0,1,29,8,164,5,-1,0,0
273,32166,33,6,1,2,1,-1724,1,0,1,6,5,123,1,-1,0,0
274,20612,67,7,1,3,0,-38,0,0,1,14,8,707,1,-1,0,0
275,36645,52,6,1,2,0,1825,0,0,1,19,8,84,1,185,1,3
276,6319,33,1,1,1,0,-443,1,0,0,2,5,194,1,-1,0,0
277,26730,47,3,1,1,0,-230,1,1,1,17,7,98,2,-1,0,0
278,5438,29,3,2,3,0,2172,1,0,1,13,5,844,4,-1,0,0
279,41830,59,7,1,3,0,310,0,0,1,20,11,125,1,181,4,1
280,13724,54,3,1,1,0,396,1,0,2,2,2,78,5,-1,0,0
281,34783,36,11,1,1,0,306,0,1,0,7,6,80,6,-1,0,0
282,2187,54,8,1,0,0,438,0,0,0,28,5,117,2,-1,0,0
283,24648,31,3,2,2,0,3162,1,0,1,19,11,973,2,-1,0,0
284,7495,56,3,1,3,0,821,0,1,1,29,7,128,1,-1,0,0
285,28549,27,4,2,2,0,1332,0,0,1,29,12,238,4,137,3,1
286,24756,28,3,1,3,0,2186,0,0,1,21,11,164,1,-1,0,0
287,28328,30,3,3,1,0,1778,1,0,1,3,4,464,1,355,1,3
288,24728,30,1,3,1,0,2427,1,0,1,22,7,58,2,-1,0,0
289,26790,27,5,2,1,0,639,0,0,2,9,3,250,5,-1,0,0
290,36939,27,6,2,2,0,2421,0,0,1,14,8,108,1,0,0,0
291,5854,51,6,3,2,0,289,0,0,1,29,7,600,1,-1,0,0
292,7432,28,5,2,1,0,114,0,0,1,8,8,945,1,-1,0,0
293,19542,45,3,1,3,1,-293,1,0,0,13,5,191,1,-1,0,0
294,40322,33,8,1,2,0,666,1,0,1,20,11,158,1,-1,0,0
295,16579,29,3,1,1,0,-32,1,0,0,27,5,91,1,-1,0,0
296,16026,48,3,1,3,0,-300,1,0,2,20,11,86,5,-1,0,0
297,24449,31,4,1,1,0,134,0,1,1,15,7,638,1,-1,0,0
298,18714,39,6,1,2,0,79,0,0,1,9,8,155,1,-1,0,0
299,6715,44,4,1,1,0,185,1,0,2,14,7,122,2,-1,0,0
300,7316,34,5,2,1,0,527,0,0,0,14,5,122,1,-1,0,0
301,5105,46,9,1,1,0,810,1,0,0,7,5,127,1,-1,0,0
302,3349,36,4,1,2,0,403,1,1,0,6,5,170,2,-1,0,0
303,40795,37,4,1,1,0,1849,1,0,1,13,4,232,1,279,2,1
304,24376,27,6,1,0,0,1695,1,0,1,20,11,41,1,-1,0,0
305,19563,32,5,2,1,0,449,1,1,1,14,4,193,1,-1,0,0
306,4208,60,4,1,1,0,-5,1,0,1,6,2,87,7,-1,0,0
307,17390,48,6,1,2,0,2371,0,0,1,9,11,488,1,-1,0,0
308,15514,29,3,2,1,0,130,0,0,0,3,7,232,1,0,0,0
309,38449,80,3,1,3,0,419,0,0,1,12,7,423,2,-1,0,0
310,7782,26,5,2,2,0,147,1,0,1,3,12,301,1,198,0,1
311,17048,35,3,2,1,0,214,0,0,2,18,4,231,1,-1,0,0
312,3523,27,4,1,1,0,484,1,0,0,15,5,148,1,-1,0,0
313,13133,41,4,1,2,0,633,1,0,1,11,8,110,7,188,2,2
314,25152,36,11,2,1,1,-134,0,0,1,7,2,312,3,0,0,0
315,23822,34,8,1,2,0,79,1,0,1,15,7,234,2,-1,0,0
316,38419,31,6,2,2,0,6062,0,0,1,9,8,204,1,-1,0,0
317,27075,77,7,1,3,0,482,0,0,2,24,10,105,2,-1,0,0
318,41209,43,4,1,0,0,624,1,1,0,14,5,74,1,-1,0,0
319,11983,33,4,2,1,0,2009,1,0,1,5,2,186,3,261,3,3
320,8681,43,4,1,2,0,121,1,1,0,14,5,283,1,-1,0,0
321,41086,31,3,1,3,0,73,1,0,0,23,5,79,10,-1,0,0
322,18099,81,8,2,3,0,1787,0,0,1,3,12,371,1,190,3,2
323,31964,47,3,1,2,0,176,0,1,1,20,9,180,1,-1,1,0
324,39079,39,4,1,1,0,310,1,0,0,16,5,143,7,-1,0,0
325,39306,37,3,1,1,0,81,1,1,1,29,7,211,1,-1,0,0
326,2299,32,6,2,2,0,94,0,0,1,9,5,771,2,-1,0,0
327,34048,45,4,2,1,0,1090,0,0,1,3,2,218,1,277,6,3
328,3306,48,4,1,1,0,1954,1,1,2,12,5,111,1,-1,0,0
329,31637,39,1,2,1,0,1849,0,0,1,20,11,71,1,191,1,1
330,40928,57,3,1,3,0,-274,1,0,1,30,7,608,1,-1,0,0
331,30942,34,5,2,1,0,194,1,0,1,20,4,787,1,191,3,1
332,1157,59,3,1,3,0,451,0,0,0,12,5,236,1,-1,0,0
333,236,34,6,1,2,1,-121,1,0,1,22,8,128,6,-1,0,0
334,37079,32,8,1,2,0,1095,1,0,0,11,6,280,2,-1,0,0
335,9395,69,7,1,1,0,545,0,0,1,23,6,437,1,81,1,2
336,11017,54,3,1,1,0,1882,0,0,0,2,6,159,2,0,0,0
337,2780,20,12,2,2,0,7926,0,0,1,9,9,157,1,192,1,2
338,42208,36,6,1,2,0,970,0,0,1,13,8,152,2,-1,0,0
339,8322,37,3,2,2,1,-1501,1,0,0,20,6,118,15,-1,0,0
340,14819,43,3,1,1,0,1474,1,0,1,14,5,154,3,-1,0,0
341,21659,50,6,2,1,0,490,1,0,1,12,5,288,1,-1,0,0
342,7724,35,4,2,1,0,116,1,0,0,18,6,220,7,-1,0,0
343,37684,29,6,1,2,0,1137,1,1,1,20,11,105,2,-1,0,0
344,38446,33,5,1,1,0,13,1,0,1,21,11,208,1,-1,0,0
345,14686,28,3,2,1,1,-118,0,0,0,2,6,328,1,-1,0,0
346,30937,25,1,2,1,0,0,1,0,0,14,5,356,1,-1,0,0
347,18229,43,6,1,2,1,-653,0,0,1,24,7,359,1,-1,0,0
348,1686,31,3,1,1,0,2211,1,1,1,15,5,180,1,351,3,1
349,4416,41,9,1,3,0,946,1,0,1,28,1,156,2,116,1,3
350,6424,44,9,3,1,0,1108,1,0,1,12,5,247,1,-1,0,0
351,28699,39,4,1,2,0,111,1,0,1,17,11,147,1,172,2,1
352,18886,46,4,1,3,0,1371,1,0,1,20,4,239,7,269,3,1
353,34487,40,3,1,3,1,-317,1,0,1,21,4,51,5,-1,0,0
354,35953,31,5,1,1,0,980,1,0,1,25,7,111,1,-1,0,0
355,674,34,5,2,1,0,501,1,0,0,16,5,124,1,-1,0,0
356,28410,52,4,1,1,0,333,0,0,1,4,8,116,2,-1,0,0
357,40173,35,6,2,2,0,1084,1,0,1,10,5,1267,2,-1,0,0
358,14044,44,3,1,1,0,932,1,0,1,21,11,190,1,-1,0,0
359,19103,36,4,3,1,1,-480,1,0,0,17,5,126,1,-1,0,0
360,15634,34,4,2,1,0,1416,1,0,0,8,5,101,1,181,0,2
361,35764,59,3,1,0,0,3964,0,0,1,8,7,485,1,-1,0,0
362,2910,33,4,1,1,0,661,1,0,1,11,5,87,10,246,5,3
