id,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,subscribe
3086,34,technician,single,secondary,no,1539,yes,no,cellular,8,feb,75,1,184,3,failure,no
13811,46,blue-collar,married,secondary,no,271,yes,yes,,13,may,174,4,-1,0,,no
42213,30,management,married,tertiary,no,1037,yes,no,cellular,21,nov,120,1,-1,1,failure,no
22282,45,blue-collar,divorced,secondary,no,573,no,no,cellular,28,jan,890,1,-1,0,,no
5571,30,self-employed,single,tertiary,no,191,no,no,telephone,23,nov,401,1,-1,0,,no
1518,33,blue-collar,single,secondary,no,2347,yes,no,cellular,27,may,206,1,0,0,,no
23987,31,services,single,secondary,no,-10,no,no,cellular,5,apr,384,1,-1,0,,no
40121,33,management,single,tertiary,yes,-41,yes,no,cellular,20,nov,262,1,94,0,,no
14277,29,technician,married,secondary,no,2658,yes,no,cellular,5,jun,208,1,263,4,success,no
34496,38,blue-collar,married,primary,no,376,yes,no,cellular,11,may,179,1,271,1,failure,yes
39791,52,retired,divorced,primary,no,1689,no,no,cellular,29,dec,72,1,184,3,success,no
23867,50,management,married,tertiary,no,17982,no,no,cellular,17,aug,27,1,-1,0,,no
36320,40,unemployed,married,secondary,no,1711,yes,no,cellular,4,may,481,1,175,6,failure,no
25210,50,blue-collar,married,primary,no,995,no,no,,4,jun,86,1,-1,0,,no
31752,29,services,married,secondary,no,-19,no,yes,cellular,7,aug,180,2,-1,0,,no
26787,32,unemployed,single,secondary,yes,388,no,yes,,4,jun,24,1,-1,0,,no
29221,36,management,married,tertiary,no,204,no,no,cellular,21,jul,40,3,-1,0,,no
2707,42,blue-collar,married,secondary,yes,-336,yes,no,cellular,20,may,93,1,-1,0,,no
24181,64,retired,divorced,,no,2417,no,no,telephone,14,dec,241,1,187,3,success,yes
29007,46,technician,married,secondary,no,85,no,no,cellular,2,feb,572,1,-1,0,,no
13248,37,management,single,tertiary,no,11858,no,no,cellular,19,nov,51,1,121,1,success,yes
29303,53,blue-collar,divorced,primary,no,319,yes,no,cellular,14,jul,91,1,-1,0,,no
31955,51,unemployed,divorced,,no,-127,no,no,cellular,22,aug,438,2,-1,0,,yes
14223,34,student,single,tertiary,no,5025,no,no,cellular,21,apr,107,1,180,1,other,yes
39794,32,admin.,married,secondary,no,1006,yes,no,cellular,5,may,197,1,345,1,other,no
34886,40,retired,single,secondary,no,61,no,no,cellular,7,jul,186,1,-1,0,,no
8252,44,blue-collar,married,primary,no,928,yes,no,cellular,5,nov,87,2,-1,0,,no
5380,29,management,single,tertiary,no,569,no,no,cellular,8,aug,934,1,-1,1,success,yes
36503,51,admin.,married,secondary,no,-52,no,no,cellular,15,aug,372,4,-1,0,,no
7795,40,unemployed,married,tertiary,no,35,no,no,cellular,6,nov,210,1,-1,0,,no
10440,33,technician,married,secondary,no,3245,yes,no,cellular,20,nov,160,1,118,1,other,yes
8479,27,admin.,single,secondary,no,946,no,no,telephone,16,may,417,4,-1,0,,no
26479,32,admin.,single,secondary,yes,-14,no,no,cellular,6,may,173,1,-1,0,,no
20261,24,admin.,single,secondary,no,246,no,no,,3,may,153,1,-1,0,,no
6647,31,blue-collar,married,primary,no,-50,yes,no,,9,may,93,7,-1,0,,no
10814,53,admin.,married,,no,847,no,no,cellular,22,may,340,1,-1,0,,no
7499,43,management,divorced,tertiary,no,1101,yes,no,cellular,12,may,218,8,348,1,failure,no
31553,37,technician,single,secondary,yes,1251,yes,no,cellular,19,nov,94,1,180,2,failure,no
25662,34,blue-collar,married,secondary,no,770,yes,no,,17,may,155,7,-1,0,,no
32969,49,retired,single,,no,672,no,yes,cellular,21,oct,190,1,272,1,success,yes
35351,46,technician,married,secondary,no,1957,no,no,cellular,11,sep,179,1,75,1,other,no
36348,47,blue-collar,married,primary,no,60,yes,no,telephone,5,feb,120,5,-1,0,,no
25291,23,services,married,secondary,no,128,no,no,cellular,29,may,74,7,-1,0,,no
5913,30,blue-collar,single,primary,no,2021,no,no,cellular,16,may,135,4,361,3,other,no
29739,59,housemaid,married,primary,no,392,no,no,cellular,20,nov,246,1,-1,0,,no
15257,40,management,married,tertiary,yes,-205,yes,yes,,14,may,82,2,-1,0,,no
38604,52,retired,married,secondary,no,1792,no,no,cellular,7,nov,221,1,180,1,failure,no
7470,44,retired,married,primary,no,600,yes,no,,24,may,440,4,-1,0,,no
13054,53,blue-collar,single,primary,no,2526,yes,no,,5,may,164,5,-1,0,,no
32412,35,technician,married,secondary,no,243,yes,no,cellular,3,feb,191,1,-1,0,,no
4700,52,housemaid,married,primary,no,404,no,no,cellular,18,sep,488,1,176,1,failure,no
40553,33,services,married,primary,no,1499,yes,no,,20,may,218,1,-1,0,,no
36517,47,blue-collar,married,primary,no,843,no,no,cellular,9,apr,192,2,292,1,failure,no
17138,30,student,single,tertiary,no,556,yes,no,,13,may,181,1,-1,0,,yes
41913,31,blue-collar,married,secondary,no,94,yes,no,cellular,21,nov,84,7,-1,0,,no
23258,30,management,single,tertiary,no,661,yes,no,cellular,5,dec,79,1,198,1,success,no
9719,28,management,single,tertiary,no,20,no,no,cellular,8,may,185,1,355,1,other,no
31958,35,technician,single,secondary,no,3880,no,no,telephone,20,jul,192,1,-1,0,,no
29116,54,blue-collar,married,primary,no,552,yes,no,,29,may,94,7,-1,0,,no
21245,31,self-employed,single,,no,1125,yes,no,,8,may,237,1,-1,0,,no
37307,32,management,single,tertiary,no,331,no,no,cellular,31,jan,422,1,-1,0,,no
30484,29,technician,single,secondary,no,181,no,no,cellular,29,jan,30,1,-1,0,,no
3277,41,admin.,married,secondary,no,1260,no,no,cellular,8,sep,448,1,91,1,success,yes
35853,27,unemployed,single,secondary,yes,-103,no,no,cellular,22,jul,187,1,-1,0,,no
34593,33,entrepreneur,single,tertiary,yes,-22,yes,no,cellular,13,jun,74,7,346,4,other,no
33052,35,blue-collar,married,primary,no,359,yes,no,,12,may,329,13,-1,0,,no
38807,47,self-employed,married,secondary,yes,9,yes,no,,12,may,232,2,-1,0,,no
38189,51,blue-collar,married,primary,no,18423,no,no,cellular,20,jul,216,1,-1,0,,yes
26953,46,blue-collar,married,primary,yes,-46,yes,no,,13,may,99,3,-1,0,,no
15237,49,admin.,married,secondary,no,3060,yes,no,cellular,16,aug,277,1,-1,0,,no
39242,32,blue-collar,married,secondary,no,2321,yes,no,telephone,19,jul,525,1,-1,0,,yes
7268,49,management,single,tertiary,no,3722,no,no,cellular,14,sep,222,1,93,2,failure,yes
19640,38,management,married,tertiary,no,-48,yes,no,cellular,4,may,222,1,-1,0,,no
32983,34,blue-collar,married,secondary,no,1613,yes,no,,11,may,124,2,-1,0,,no
6154,29,services,single,secondary,no,-119,yes,yes,cellular,9,nov,192,2,-1,0,,no
22521,43,technician,single,tertiary,no,1862,no,no,,5,feb,190,1,-1,0,,no
10623,54,blue-collar,married,,no,256,yes,no,,9,may,76,2,-1,0,,no
17073,26,self-employed,married,secondary,no,160,no,yes,cellular,8,jul,420,1,184,1,failure,no
36538,32,technician,married,secondary,no,120,yes,no,,2,jun,136,2,-1,0,,no
11327,51,blue-collar,married,primary,no,431,no,yes,cellular,5,mar,118,1,248,3,failure,no
6307,31,self-employed,single,tertiary,no,4178,no,no,telephone,20,apr,61,1,0,1,failure,no
19162,51,blue-collar,married,secondary,no,765,yes,yes,cellular,28,jan,83,1,-1,0,,no
13112,26,blue-collar,single,primary,no,4047,yes,no,cellular,30,jan,171,1,356,1,failure,no
15012,32,blue-collar,single,secondary,no,98,yes,no,cellular,21,may,326,2,180,3,success,yes
26449,56,,divorced,tertiary,no,3235,no,no,telephone,27,oct,620,1,-1,0,,yes
20168,33,technician,married,tertiary,no,607,no,no,cellular,21,aug,305,2,-1,0,,no
17071,41,technician,single,primary,no,421,no,no,cellular,6,dec,578,1,125,1,success,no
19763,44,blue-collar,divorced,primary,no,621,yes,yes,cellular,5,jul,379,5,-1,0,,no
12851,53,technician,married,secondary,no,1267,yes,no,cellular,15,sep,500,1,179,1,failure,yes
29524,46,technician,married,secondary,no,682,yes,no,telephone,5,may,120,2,-1,0,,no
3951,55,entrepreneur,single,secondary,no,7344,no,no,telephone,21,dec,159,2,-1,0,,yes
26112,56,unemployed,divorced,secondary,no,1022,no,no,cellular,7,oct,200,1,0,0,,yes
35724,22,entrepreneur,single,tertiary,no,154,no,no,cellular,12,may,729,3,183,3,failure,no
41967,52,housemaid,married,primary,no,405,yes,no,cellular,7,may,129,4,-1,0,,no
28330,26,management,single,tertiary,no,476,no,no,cellular,5,dec,1025,1,186,3,success,yes
30188,30,blue-collar,married,primary,no,316,no,no,cellular,15,aug,178,1,-1,0,,no
31619,50,technician,divorced,secondary,no,46,no,no,cellular,3,aug,92,2,-1,0,,no
36569,30,admin.,married,secondary,no,84,yes,no,,13,may,451,1,-1,0,,no
31783,53,admin.,married,tertiary,no,73,no,no,cellular,16,aug,289,7,-1,0,,no
15424,25,blue-collar,single,tertiary,no,2005,no,no,telephone,14,may,126,7,342,11,other,yes
39813,24,blue-collar,single,secondary,no,61,no,no,cellular,7,jan,144,1,182,1,other,no
11018,25,blue-collar,single,,no,2798,yes,no,cellular,12,may,235,1,354,3,other,yes
16688,40,technician,married,secondary,no,1742,yes,no,,20,jun,112,1,-1,0,,no
15754,45,management,married,secondary,no,907,yes,no,cellular,12,jul,415,1,-1,0,,no
39265,48,blue-collar,married,secondary,no,3850,yes,no,,7,may,152,2,0,0,,no
34469,26,technician,single,,no,907,yes,no,cellular,27,jan,415,1,261,1,other,yes
16853,77,retired,married,primary,no,1484,no,no,telephone,9,aug,117,1,-1,0,,no
34846,29,technician,married,tertiary,no,7405,yes,no,cellular,19,nov,392,1,-1,0,,no
13027,39,blue-collar,married,secondary,no,617,yes,no,,6,may,65,2,-1,0,,no
31743,42,admin.,married,secondary,no,386,yes,no,cellular,21,feb,294,1,258,1,other,yes
4300,40,management,single,tertiary,no,4129,no,no,cellular,31,jan,76,1,-1,0,,no
14784,41,unemployed,divorced,secondary,no,83,no,no,,19,jun,1314,1,-1,0,,yes
3367,37,technician,married,secondary,no,-504,yes,yes,,8,may,152,1,-1,0,,no
9309,49,self-employed,married,tertiary,yes,-26,yes,no,,20,may,252,2,-1,0,,no
42249,52,admin.,single,primary,yes,-98,yes,no,cellular,9,jul,149,1,-1,0,,no
40497,54,blue-collar,divorced,primary,yes,-262,yes,no,,30,may,190,1,-1,0,,no
22612,43,blue-collar,married,secondary,no,2455,no,no,,21,jun,601,1,-1,0,,no
22806,34,technician,married,secondary,no,348,yes,yes,,7,may,135,1,-1,0,,no
29842,41,management,married,tertiary,no,1933,yes,no,cellular,11,apr,43,2,346,12,other,no
15417,60,management,divorced,tertiary,no,3059,no,no,telephone,21,jul,393,26,-1,0,,yes
17183,34,management,married,tertiary,no,2879,no,no,cellular,30,jan,563,1,-1,0,,no
18056,53,self-employed,married,tertiary,no,314,yes,yes,,17,may,70,1,-1,0,,no
23469,36,blue-collar,single,secondary,yes,-153,no,no,cellular,6,may,294,3,-1,0,,no
38947,34,blue-collar,married,primary,no,603,no,no,cellular,13,mar,151,1,359,4,other,yes
15808,33,technician,single,tertiary,no,606,yes,no,cellular,15,sep,161,1,84,4,other,yes
6552,33,entrepreneur,married,tertiary,no,5181,yes,no,,20,jun,129,5,-1,0,,no
40603,69,retired,married,primary,no,2797,no,no,cellular,12,mar,460,1,-1,0,success,yes
24722,31,blue-collar,married,secondary,yes,-139,yes,no,,8,jun,165,1,-1,0,,no
12209,31,admin.,married,secondary,no,-58,yes,no,cellular,6,may,163,1,0,0,,no
25116,46,services,divorced,,no,676,yes,no,,29,may,103,1,-1,0,,no
23403,51,admin.,married,tertiary,no,509,no,no,cellular,21,jul,108,1,-1,0,,no
7762,35,technician,single,secondary,yes,68,yes,no,,15,may,286,3,-1,0,,no
22443,29,services,single,secondary,no,9176,no,no,cellular,8,nov,387,1,-1,0,failure,no
29037,33,blue-collar,married,secondary,no,68,no,no,,5,jun,85,5,-1,0,,no
27960,41,blue-collar,married,primary,no,603,yes,no,,6,may,100,7,-1,0,,no
28435,53,blue-collar,divorced,primary,no,-8,no,no,cellular,28,jul,64,1,-1,0,,no
38940,53,services,divorced,secondary,no,429,yes,no,,9,jul,127,3,-1,0,,no
33815,30,technician,single,secondary,no,327,yes,no,,2,may,212,1,-1,0,,no
26713,74,retired,married,tertiary,no,676,no,no,cellular,12,aug,1022,1,-1,0,,yes
4894,58,management,divorced,tertiary,no,707,no,no,telephone,3,feb,99,2,91,6,failure,no
19831,34,management,married,tertiary,no,2009,no,no,cellular,5,mar,487,1,-1,0,,yes
31584,53,retired,married,primary,no,19423,no,no,telephone,16,mar,154,1,-1,0,,yes
609,53,unemployed,married,secondary,no,47,yes,no,cellular,6,oct,300,1,-1,0,,no
34043,50,unemployed,married,secondary,no,816,no,yes,telephone,4,nov,539,2,-1,0,,yes
39862,33,management,married,tertiary,no,2859,no,no,cellular,18,nov,271,1,186,1,failure,no
34870,26,blue-collar,married,secondary,no,1554,yes,no,cellular,12,may,171,2,354,3,failure,no
5199,44,management,married,primary,no,205,yes,yes,cellular,15,may,75,2,274,1,failure,no
13673,49,management,single,tertiary,no,16809,no,no,cellular,13,may,91,1,130,0,,no
7409,34,blue-collar,single,tertiary,no,591,no,no,cellular,15,jul,834,1,-1,0,,yes
846,27,entrepreneur,single,,no,42,no,no,,9,may,92,1,-1,0,,yes
21739,57,blue-collar,married,primary,no,-789,no,no,,5,jun,113,2,-1,0,,no
24462,45,management,single,tertiary,no,134,no,no,,7,jun,239,1,-1,0,,no
5709,45,unemployed,married,,no,10675,yes,no,,14,may,170,1,-1,0,,no
5193,31,management,married,tertiary,no,503,yes,no,,14,may,208,4,-1,0,,no
22225,45,blue-collar,married,secondary,yes,-624,yes,no,cellular,19,nov,654,1,180,2,failure,no
13778,28,technician,married,secondary,no,107,yes,no,cellular,13,jul,204,2,-1,0,,no
12335,26,technician,married,secondary,no,1526,yes,no,,8,may,88,2,0,0,,no
29027,35,technician,married,secondary,no,2969,no,no,cellular,10,may,270,2,-1,0,,no
31824,26,technician,divorced,secondary,no,166,no,no,cellular,21,nov,321,1,-1,0,success,no
41781,42,unemployed,married,secondary,no,-7,yes,no,cellular,22,jul,65,6,-1,0,,no
16300,30,blue-collar,married,secondary,no,1105,yes,no,,31,may,143,1,-1,0,,no
34596,32,blue-collar,single,secondary,no,852,yes,no,telephone,18,may,135,2,340,0,,no
21186,33,technician,married,secondary,no,-292,no,no,cellular,29,aug,571,1,-1,0,,no
13624,38,technician,single,tertiary,no,2912,yes,no,,5,may,87,10,-1,0,,no
23735,43,blue-collar,single,primary,no,235,no,no,cellular,31,jul,106,7,-1,0,,no
5785,36,unemployed,married,secondary,no,-132,yes,no,,14,may,151,1,-1,0,,no
10839,29,student,single,tertiary,no,1256,no,no,cellular,10,sep,389,1,-1,0,,yes
12460,47,technician,married,secondary,no,-1097,yes,no,cellular,2,feb,177,1,-1,0,,no
36611,27,blue-collar,married,primary,no,453,yes,no,cellular,30,dec,450,1,347,1,failure,yes
31166,43,blue-collar,married,secondary,no,388,yes,no,cellular,7,may,123,1,344,1,failure,no
13930,22,admin.,single,tertiary,no,3952,yes,no,cellular,5,jun,59,6,339,3,other,yes
10736,36,management,single,tertiary,no,1114,no,no,cellular,15,mar,155,1,-1,0,,yes
38067,39,self-employed,divorced,tertiary,no,3907,yes,no,,18,jun,208,1,-1,0,,no
9748,68,retired,divorced,secondary,no,5041,no,no,telephone,5,may,386,2,-1,0,,no
15484,40,management,single,tertiary,no,925,no,no,cellular,8,jul,584,1,-1,0,,yes
2174,44,technician,married,primary,no,688,yes,no,cellular,16,may,513,1,285,3,failure,no
12473,35,management,single,tertiary,no,-60,yes,no,,7,may,153,2,-1,0,,no
10673,31,blue-collar,married,secondary,no,1119,yes,no,,30,may,152,1,-1,0,,no
30444,42,services,single,secondary,no,-25,no,no,cellular,21,apr,591,1,0,0,,no
41478,45,blue-collar,married,primary,no,-73,yes,no,,28,jun,64,1,-1,0,,no
3426,57,self-employed,married,tertiary,no,1133,no,no,cellular,6,aug,516,3,-1,0,,yes
19672,43,services,married,secondary,no,48,no,no,telephone,7,may,116,14,-1,0,,no
2045,30,management,single,tertiary,no,1146,no,no,cellular,29,dec,282,1,96,3,success,yes
8176,32,services,married,secondary,no,863,no,no,cellular,21,nov,192,2,0,0,,no
28202,51,services,married,secondary,no,2,yes,no,cellular,7,may,188,2,-1,0,,yes
5806,29,blue-collar,single,tertiary,no,12715,yes,no,,21,jun,42,1,-1,0,,no
5652,29,blue-collar,married,secondary,no,886,no,yes,,6,may,166,4,-1,0,,no
16224,52,blue-collar,married,secondary,no,2140,no,yes,cellular,30,jul,4,1,-1,0,,no
10254,43,blue-collar,married,secondary,yes,-109,yes,no,cellular,1,feb,208,1,-1,0,,no
9949,45,blue-collar,divorced,primary,no,1092,yes,no,cellular,16,may,132,7,347,2,failure,no
8677,32,entrepreneur,married,secondary,no,2010,yes,yes,,19,may,71,2,-1,0,,no
1264,28,student,single,secondary,no,1396,yes,no,cellular,22,nov,521,1,-1,0,,yes
29025,54,admin.,married,secondary,no,1866,yes,no,cellular,6,may,98,1,174,1,failure,no
32369,35,blue-collar,divorced,tertiary,yes,-457,no,no,,29,jul,361,2,-1,0,,no
4187,46,blue-collar,married,primary,no,502,no,no,cellular,30,jul,139,1,-1,0,,no
24442,41,blue-collar,married,secondary,no,781,yes,no,telephone,28,jul,136,7,-1,0,,no
38271,37,blue-collar,married,secondary,no,2119,yes,no,cellular,12,may,161,1,345,1,failure,yes
23813,51,technician,married,secondary,no,320,yes,yes,cellular,15,may,348,2,-1,0,,no
19217,48,management,married,tertiary,no,4994,no,yes,cellular,22,nov,90,2,180,11,other,no
33712,40,blue-collar,married,secondary,no,1111,yes,no,cellular,3,may,184,2,255,11,other,no
18237,27,blue-collar,married,secondary,yes,-114,yes,no,,7,jul,247,16,-1,0,,no
29395,32,services,single,secondary,no,946,no,no,,15,may,276,1,-1,0,,yes
32627,29,technician,single,tertiary,no,20,no,no,cellular,20,aug,152,2,186,1,success,no
22526,35,technician,single,secondary,no,117,no,no,cellular,4,feb,172,1,182,1,failure,no
22417,54,admin.,married,secondary,no,49,yes,no,cellular,14,apr,267,1,354,2,failure,no
34515,61,retired,married,primary,no,328,no,no,cellular,2,nov,152,1,-1,0,,no
12495,33,management,single,tertiary,no,100,no,yes,cellular,8,jul,203,1,-1,0,,no
12154,43,blue-collar,married,secondary,no,213,no,yes,cellular,5,aug,137,2,-1,0,,no
10969,43,blue-collar,married,primary,no,83,yes,no,cellular,28,jul,362,1,-1,0,,yes
10598,59,services,married,primary,no,-54,no,no,cellular,9,aug,68,2,-1,0,,no
29140,43,unemployed,married,primary,no,-131,yes,no,cellular,5,feb,130,2,259,3,other,no
6745,24,services,single,secondary,no,-91,no,no,cellular,31,jan,143,1,-1,0,,no
32845,28,self-employed,married,,no,28,yes,no,,12,may,52,1,-1,0,,no
24705,50,management,single,tertiary,no,549,no,no,telephone,21,jul,279,2,-1,0,,no
311,45,management,single,tertiary,no,4140,no,no,cellular,15,aug,298,2,-1,0,,yes
40530,57,management,married,tertiary,no,178,yes,yes,,21,may,246,1,-1,0,,no
27725,56,blue-collar,married,secondary,no,1641,no,yes,cellular,7,jan,242,1,258,1,failure,no
18296,28,student,single,tertiary,no,2904,no,no,telephone,19,dec,504,3,-1,0,,yes
21224,29,admin.,single,secondary,no,597,yes,no,cellular,16,may,296,1,182,1,failure,yes
18670,39,management,married,tertiary,no,14408,no,no,cellular,14,jun,791,1,176,0,,yes
19586,29,retired,single,tertiary,no,3408,no,no,cellular,7,sep,230,1,0,0,,yes
14087,32,management,married,tertiary,no,-477,yes,no,cellular,13,may,424,1,-1,0,,yes
8390,30,technician,married,primary,no,-21,no,yes,cellular,31,jul,220,2,-1,0,,no
11,37,blue-collar,single,primary,yes,-85,no,no,cellular,4,nov,175,1,-1,0,,no
3929,31,admin.,single,secondary,no,-22,no,no,cellular,29,may,127,1,-1,0,,yes
7704,31,management,single,tertiary,no,378,no,no,cellular,22,jul,471,1,0,0,,no
27242,39,services,single,secondary,no,-109,yes,no,cellular,7,may,134,1,-1,0,,no
22569,53,technician,married,secondary,no,932,yes,no,cellular,13,apr,147,1,178,2,success,no
36453,66,retired,married,tertiary,no,2341,no,no,cellular,21,aug,436,1,-1,0,,no
34185,33,technician,single,secondary,no,35,yes,no,cellular,3,feb,257,1,-1,0,,no
18647,34,management,single,tertiary,no,2031,yes,no,cellular,8,jul,778,1,183,3,success,yes
23694,39,entrepreneur,married,,no,545,no,no,cellular,12,may,86,7,-1,0,,no
21073,59,retired,married,primary,no,1033,no,no,cellular,22,aug,159,2,-1,0,,no
14574,35,entrepreneur,married,tertiary,no,634,yes,no,telephone,2,feb,147,2,282,3,failure,no
29154,52,blue-collar,married,primary,no,118,yes,no,cellular,19,may,147,1,-1,0,,no
29428,42,technician,divorced,secondary,no,1738,no,no,,30,may,193,2,91,12,failure,no
19464,51,unemployed,married,secondary,no,1824,no,no,cellular,4,aug,64,2,-1,0,,no
17092,48,entrepreneur,divorced,primary,no,-576,yes,no,,15,may,123,2,-1,0,,no
41359,40,unemployed,married,secondary,no,1731,no,no,cellular,7,oct,195,1,-1,0,,no
23126,36,management,married,tertiary,no,5454,yes,no,,14,may,40,2,-1,0,,no
14655,40,blue-collar,married,secondary,no,717,yes,no,,13,may,411,1,-1,0,,no
4460,50,management,divorced,tertiary,no,115,no,no,cellular,29,may,85,2,-1,0,,no
42367,43,blue-collar,married,primary,no,367,yes,yes,,22,jul,15,3,-1,0,,no
38316,41,blue-collar,single,secondary,no,2774,yes,no,cellular,20,feb,200,1,174,11,other,no
24718,23,services,married,secondary,no,547,no,no,cellular,15,may,109,2,181,1,success,yes
33291,41,technician,married,tertiary,no,1123,yes,no,cellular,14,feb,243,1,285,2,failure,no
13860,33,blue-collar,married,primary,yes,-428,yes,no,cellular,8,jul,94,1,-1,0,,no
31821,49,self-employed,married,secondary,no,4,no,no,cellular,2,mar,112,2,0,0,,yes
15434,31,student,single,tertiary,no,-34,no,no,cellular,18,aug,389,1,185,1,other,yes
26951,51,admin.,married,secondary,no,166,yes,no,,13,may,142,1,-1,0,,no
12326,45,blue-collar,married,secondary,no,149,yes,no,cellular,9,may,126,2,251,1,other,no
18616,35,blue-collar,divorced,primary,yes,-5,yes,no,,20,may,160,2,-1,0,,no
27941,28,student,single,primary,no,539,no,no,cellular,4,dec,370,1,0,0,,yes
29625,28,management,married,tertiary,no,1155,no,no,cellular,18,nov,313,10,97,1,failure,no
35210,32,student,single,tertiary,no,4563,yes,no,,9,may,280,1,-1,0,,yes
4849,37,technician,divorced,secondary,no,-26,no,no,cellular,6,aug,146,7,-1,0,,no
25987,31,management,single,secondary,no,1850,no,no,cellular,15,dec,1005,1,0,0,,yes
6420,39,technician,single,secondary,no,1244,no,no,cellular,20,nov,65,1,-1,0,,no
20786,54,retired,married,primary,no,164,no,no,cellular,21,jul,300,1,-1,0,,no
31154,33,technician,single,secondary,no,97,yes,no,cellular,21,jul,227,1,-1,0,,no
12455,42,admin.,single,secondary,no,820,no,no,telephone,16,may,312,1,-1,0,,no
9085,29,management,single,tertiary,no,815,no,no,cellular,7,aug,362,1,-1,0,,yes
39344,32,entrepreneur,married,tertiary,no,1862,yes,no,cellular,4,may,158,1,-1,0,,no
26223,32,technician,single,secondary,no,92,no,no,,19,jun,286,1,-1,0,,no
29938,41,blue-collar,divorced,primary,no,796,no,no,cellular,19,may,140,1,190,1,failure,no
35050,50,management,married,tertiary,no,2180,no,no,cellular,12,jun,267,1,101,2,success,yes
30133,46,technician,married,tertiary,no,755,no,no,,15,may,184,2,-1,0,,no
18031,38,management,single,tertiary,no,4634,no,no,cellular,5,mar,153,1,100,6,success,yes
33115,37,management,divorced,tertiary,no,276,no,no,cellular,7,dec,462,1,94,6,success,yes
40817,51,technician,married,secondary,no,2091,yes,no,,6,may,45,5,-1,0,,no
26362,57,entrepreneur,single,tertiary,no,1546,yes,no,telephone,6,feb,12,3,-1,0,,no
88,27,blue-collar,married,secondary,no,177,yes,no,,11,may,191,1,-1,0,,no
